,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,PlayerName,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,HS(out/not_out),BBI_wickets,BBI_runs,career_span_yrs
1388,Ravindrasinh Anirudhsinh Jadeja,1988-12-06,35,Left hand Bat,Slow Left arm Orthodox,Allrounder,16,Ravindrasinh Anirudhsinh Jadeja,66,2009-2023,480,46,22.85,0,53,28.41,0,25,0,-5.55,42,22,Not Out,3,15,14
1420,Amanjot Bhupinder Kaur,2000-01-01,24,Right hand Bat,Right arm Medium,Batting Allrounder,4,Amanjot Bhupinder Kaur,12,2023-2024,92,41,23.0,0,4,29.5,0,4,0,-6.5,8,3,Not Out,2,25,1
1421,Harmanpreet Kaur Bhullar,1989-03-08,34,Right hand Bat,Right arm Offbreak,Batting Allrounder,11,Harmanpreet Kaur Bhullar,161,2009-2024,3204,103,27.62,1,32,24.84,0,61,0,2.77,83,73,Out,4,23,15
1429,Virat Kohli,1988-11-05,35,Right hand Bat,Right arm Medium,Top order Batter,12,Virat Kohli,117,2010-2024,4037,122,51.75,1,4,51.0,0,52,0,0.75,74,37,Not Out,1,13,14
1433,Kuldeep Yadav,1994-12-14,29,Left hand Bat,Left arm Wrist spin,Bowler,9,Kuldeep Yadav,35,2017-2024,46,23,11.5,0,59,14.1,2,10,0,-2.6,21,11,Not Out,5,17,7
1436,Bhuvneshwar Kumar Singh,1990-02-05,33,Right hand Bat,Right arm Medium,Bowler,13,Bhuvneshwar Kumar Singh,87,2012-2022,67,16,8.37,0,90,23.1,2,15,0,-14.72,55,28,Out,5,4,10
1437,Praveenkumar Sakat Singh,1986-10-02,37,Right hand Bat,Right arm Medium,Bowler,12,Praveenkumar Sakat Singh,10,2008-2012,7,6,2.33,0,8,24.12,0,1,0,-21.79,5,5,Out,2,14,4
1452,Minnu Mani,1999-03-24,24,Left hand Bat,Right arm Offbreak,Bowler,3,Minnu Mani,4,2023-2023,6,5,6.0,0,5,11.6,0,0,0,-5.6,2,1,Not Out,2,9,0
1460,Meghna Singh,1994-06-18,29,Right hand Bat,Right arm Medium,Bowler,6,Meghna Singh,9,2022-2022,1,1,0.5,0,4,37.75,0,2,0,-37.25,5,3,Out,1,6,0
1463,Mona Rajesh Meshram,1991-09-30,32,Right hand Bat,Right arm Medium,Middle order Batter,2,Mona Rajesh Meshram,11,2012-2018,125,32,17.85,0,1,50.0,0,2,0,-32.14,6,5,Out,1,9,6
1470,Mohammed Shami Ahmed,1990-09-03,33,Right hand Bat,Right arm Fast,Bowler,8,Mohammed Shami Ahmed,23,2014-2022,0,0,0.0,0,24,29.62,0,1,0,-29.62,14,7,Not Out,3,15,8
1471,Mohammed Siraj,1994-03-13,29,Right hand Bat,Right arm Fast,Bowler,8,Mohammed Siraj,10,2017-2023,7,5,7.0,0,12,27.83,0,4,0,-20.83,6,3,Out,4,17,6
1484,Sthalam Krishnamurth Sravanthi Naidu,1986-08-23,37,Right hand Bat,Left arm Slow,Middle order Batter,1,Sthalam Krishnamurth Sravanthi Naidu,6,2014-2014,11,11,11.0,0,9,8.33,0,2,0,2.66,5,1,Out,4,9,0
1494,Niranjana Nagarajan,1988-10-09,35,Right hand Bat,Right arm Medium,Middle order Batter,3,Niranjana Nagarajan,14,2012-2016,42,15,7.0,0,9,26.22,0,3,0,-19.22,9,5,Out,2,15,4
