,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,PlayerName,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,HS(out/not_out),BBI_wickets,BBI_runs,career_span_yrs
2809,Moseline Rochelle Daniels,1990-02-01,34,Left hand Bat,Left arm Medium,Bowler,4,Moseline Rochelle Daniels,40,2010-2019,20,8,5.0,0,28,23.64,0,8,0,-18.64,19,20,Not Out,3,13,9
2813,Nadine de Klerk,2000-01-16,24,Right hand Bat,Right arm Medium,Allrounder,5,Nadine de Klerk,48,2018-2024,439,37,27.43,0,37,23.21,0,9,0,4.22,21,24,Not Out,3,7,6
2832,Jean-Paul Duminy,1984-04-14,39,Left hand Bat,Right arm Offbreak,Batting Allrounder,13,Jean-Paul Duminy,81,2007-2019,1934,96,38.68,0,21,28.52,0,35,0,10.15,51,28,Not Out,3,18,12
2840,Bjorn Carl Fortuin,1994-10-21,29,Right hand Bat,Slow Left arm Orthodox,Bowler,8,Bjorn Carl Fortuin,17,2019-2023,52,17,7.42,0,17,23.23,0,5,0,-15.8,7,10,Not Out,3,16,4
2843,Yolani Fourie,1989-10-12,34,Right hand Bat,Right arm Offbreak,Bowler,2,Yolani Fourie,10,2014-2018,11,7,11.0,0,3,44.66,0,1,0,-33.66,4,6,Not Out,2,20,4
2854,Beuran Eric Hendricks,1990-06-08,33,Left hand Bat,Left arm Fast medium,Bowler,11,Beuran Eric Hendricks,19,2014-2021,18,12,6.0,0,25,25.08,0,4,0,-19.08,11,8,Not Out,4,14,7
2862,Shabnim Ismail,1988-10-05,35,Left hand Bat,Right arm Fast medium,Bowler,11,Shabnim Ismail,113,2007-2023,186,20,7.15,0,123,18.62,2,36,0,-11.47,53,57,Not Out,5,12,16
2866,Marco Jansen,2000-05-01,23,Right hand Bat,Left arm Medium fast,Bowling Allrounder,10,Marco Jansen,4,2022-2023,32,20,16.0,0,6,29.0,0,3,0,-13.0,2,2,Out,3,52,1
2871,Marizanne Kapp,1990-01-04,34,Right hand Bat,Right arm Medium,Allrounder,9,Marizanne Kapp,100,2009-2024,1319,75,19.98,0,79,20.94,0,18,0,-0.96,50,46,Out,4,6,15
2874,Ayabonga Khaka,1992-07-18,31,Right hand Bat,Right arm Medium,Bowler,6,Ayabonga Khaka,57,2012-2024,32,8,10.66,0,49,26.16,0,11,0,-15.49,25,30,Not Out,4,23,12
2880,Odine Kirsten,1994-07-28,29,Right hand Bat,Right arm Medium,Allrounder,3,Odine Kirsten,2,2016-2016,5,3,5.0,0,1,45.0,0,1,0,-40.0,1,1,Out,1,26,0
2882,Masabata Marie Klaas,1991-02-03,33,Right hand Bat,Right arm Medium,Bowler,2,Masabata Marie Klaas,63,2010-2024,41,12,3.72,0,41,32.82,0,10,0,-29.1,28,30,Not Out,4,21,14
2884,Rory Keith Kleinveldt,1983-03-15,40,Right hand Bat,Right arm Fast medium,Bowler,6,Rory Keith Kleinveldt,6,2008-2013,25,22,25.0,0,9,19.22,0,1,0,5.77,3,3,Out,3,18,5
2897,George Fredrik Linde,1991-12-04,32,Left hand Bat,Slow Left arm Orthodox,Allrounder,8,George Fredrik Linde,14,2020-2021,111,29,11.1,0,15,22.66,0,6,0,-11.56,6,8,Out,3,23,1
2902,Sune Luus,1996-01-05,28,Right hand Bat,Legbreak,Allrounder,8,Sune Luus,114,2012-2024,1231,71,21.22,0,49,22.04,2,39,0,-0.81,56,53,Out,5,8,12
2904,Sisanda Somila Bruce Magala,1991-01-07,33,Right hand Bat,Right arm Fast medium,Bowler,7,Sisanda Somila Bruce Magala,6,2021-2023,34,18,34.0,0,6,37.66,0,1,0,-3.66,2,4,Not Out,3,21,2
2905,Keshav Athmanand Maharaj,1990-02-07,34,Right hand Bat,Slow Left arm Orthodox,Bowler,7,Keshav Athmanand Maharaj,27,2021-2023,79,41,13.16,0,24,27.95,0,12,0,-14.79,16,9,Out,2,21,2
2916,Aiden Kyle Markram,1994-10-04,29,Right hand Bat,Right arm Offbreak,Opening Batter,9,Aiden Kyle Markram,39,2019-2023,1118,70,38.55,0,10,30.6,0,26,0,7.95,23,15,Out,3,21,4
2918,Eliz-mari Marx,2003-01-20,21,Right hand Bat,Right arm Medium,Bowler,2,Eliz-mari Marx,3,2023-2023,1,1,1.0,0,1,45.0,0,0,0,-44.0,1,1,Out,1,25,0
2920,Ryan McLaren,1983-02-09,41,Left hand Bat,Right arm Medium fast,Allrounder,10,Ryan McLaren,12,2009-2014,9,6,9.0,0,17,19.52,1,3,0,-10.52,9,3,Not Out,5,19,5
2926,Nonkululeko Mlaba,2000-06-27,23,Right hand Bat,Slow Left arm Orthodox,Bowler,2,Nonkululeko Mlaba,45,2019-2024,8,5,4.0,0,35,24.71,0,2,0,-20.71,19,22,Not Out,3,10,5
2941,Morne Morkel,1984-10-06,39,Left hand Bat,Right arm Fast,Bowler,14,Morne Morkel,44,2007-2017,22,8,7.33,0,47,25.34,0,5,0,-18.0,26,17,Not Out,4,17,10
2942,Christopher Henry Morris,1987-04-30,36,Right hand Bat,Right arm Fast medium,Bowling Allrounder,17,Christopher Henry Morris,23,2012-2019,133,55,14.77,0,34,20.5,0,6,0,-5.72,15,8,Not Out,4,27,7
2946,Pieter Willem Adriaan Mulder,1998-02-19,25,Right hand Bat,Right arm Medium,Allrounder,7,Pieter Willem Adriaan Mulder,5,2021-2021,51,36,25.5,0,5,18.0,0,4,0,7.5,4,1,Out,2,10,0
2957,Anrich Arno Nortje,1993-11-16,30,Right hand Bat,Right arm Fast,Bowler,11,Anrich Arno Nortje,31,2019-2023,16,4,2.66,0,38,19.52,0,8,0,-16.85,14,15,Not Out,4,10,4
2971,Wayne Dillon Parnell,1989-07-30,34,Left hand Bat,Left arm Medium fast,Bowler,20,Wayne Dillon Parnell,56,2009-2023,174,29,17.4,0,59,25.64,1,7,0,-8.24,32,23,Not Out,5,30,14
2973,Dane Paterson,1989-04-04,34,Right hand Bat,Right arm Fast medium,Bowler,8,Dane Paterson,8,2017-2018,5,4,5.0,0,9,29.44,0,1,0,-24.44,5,3,Not Out,4,32,1
2976,Aaron Mpho Phangiso,1984-01-21,40,Right hand Bat,Slow Left arm Orthodox,Bowler,10,Aaron Mpho Phangiso,16,2012-2018,19,13,6.33,0,20,22.15,0,0,0,-15.81,9,7,Out,3,25,6
2977,Andile Lucky Phehlukwayo,1996-03-03,27,Left hand Bat,Right arm Medium fast,Bowling Allrounder,7,Andile Lucky Phehlukwayo,40,2017-2023,159,27,9.93,0,45,22.95,0,8,0,-13.01,20,19,Not Out,4,24,6
2978,Vernon Darryl Philander,1985-06-24,38,Right hand Bat,Right arm Fast medium,Allrounder,13,Vernon Darryl Philander,7,2007-2007,14,6,3.5,0,4,28.5,0,1,0,-25.0,5,2,Out,2,23,0
2988,Dwaine Pretorius,1989-03-29,34,Right hand Bat,Right arm Medium fast,Bowling Allrounder,14,Dwaine Pretorius,30,2017-2022,261,77,21.75,0,35,19.88,1,6,0,1.86,19,10,Not Out,5,17,5
2992,Kagiso Rabada,1995-05-25,28,Left hand Bat,Right arm Fast,Bowler,15,Kagiso Rabada,56,2014-2023,147,22,21.0,0,58,29.87,0,18,0,-8.87,30,23,Out,3,20,9
3009,Tumi Sphindile Sekhukhune,1998-11-21,25,Left hand Bat,Right arm Fast medium,Bowler,4,Tumi Sphindile Sekhukhune,31,2018-2023,6,3,3.0,0,29,20.31,0,14,0,-17.31,14,15,Out,3,20,5
3015,Tabraiz Shamsi,1990-02-18,33,Right hand Bat,Left arm Wrist spin,Bowler,22,Tabraiz Shamsi,65,2017-2023,10,4,2.0,0,78,22.2,1,12,0,-20.2,35,30,Not Out,5,24,6
3016,Nondumiso Shangase,1996-04-05,27,Right hand Bat,Right arm Offbreak,Batting Allrounder,3,Nondumiso Shangase,10,2019-2023,6,4,3.0,0,9,14.77,0,4,0,-11.77,3,6,Out,3,20,4
3021, Lubabalo Lutho Sipamla,1998-05-12,25,Right hand Bat,Right arm Fast medium,Bowler,8,Lubabalo Lutho Sipamla,9,2019-2021,8,8,8.0,0,5,53.0,0,3,0,-45.0,4,4,Not Out,2,22,2
3033,Jon-Jon Trevor Smuts,1988-09-21,35,Right hand Bat,Slow Left arm Orthodox,Batting Allrounder,9,Jon-Jon Trevor Smuts,13,2017-2021,174,45,13.38,0,1,178.0,0,1,0,-164.61,5,8,Out,1,19,4
3041,Dale Willem Steyn,1983-06-27,40,Right hand Bat,Right arm Fast,Bowler,25,Dale Willem Steyn,47,2007-2020,21,5,3.5,0,64,18.35,0,12,0,-14.85,26,19,Not Out,4,9,13
3056,Chloe-Lesleigh  Tryon,1994-01-25,30,Right hand Bat,Slow Left arm Orthodox,Allrounder,9,Chloe-Lesleigh  Tryon,94,2010-2024,1109,57,20.53,0,32,33.15,0,23,0,-12.61,42,47,Not Out,4,15,14
3059,Lonwabo Lopsy Tsotsobe,1984-03-07,39,Right hand Bat,Left arm Fast medium,Bowler,8,Lonwabo Lopsy Tsotsobe,23,2009-2014,2,1,2.0,0,18,30.05,0,1,0,-28.05,15,8,Not Out,3,16,5
3060,Delmi Tucker,1997-03-05,26,Right hand Bat,Right arm Offbreak,Allrounder,2,Delmi Tucker,14,2022-2023,50,15,8.33,0,3,63.66,0,2,0,-55.33,3,11,Not Out,1,14,1
3076,Dane van Niekerk,1993-05-14,30,Right hand Bat,Legbreak,Allrounder,8,Dane van Niekerk,86,2009-2021,1877,90,28.01,0,65,20.96,0,25,0,7.04,38,45,Not Out,4,17,12
3094,Lizaad Buyron Williams,1993-10-01,30,Left hand Bat,Right arm Medium fast,Bowler,6,Lizaad Buyron Williams,11,2021-2023,6,2,3.0,0,16,23.18,0,2,0,-20.18,4,7,Not Out,3,35,2
3122,Malmeege Amila Aponso,1993-06-23,30,Right hand Bat,Slow Left arm Orthodox,Bowler,13,Malmeege Amila Aponso,3,2018-2018,0,0,0.0,0,4,19.75,0,0,0,-19.75,1,2,Out,2,29,0
3128,Athapaththu Mudiyanselage Chamari Jayangani Kumai Athapaththu,1990-02-09,34,Left hand Bat,Right arm Offbreak,Batting Allrounder,11,Athapaththu Mudiyanselage Chamari Jayangani Kumai Athapaththu,122,2009-2023,2651,113,22.65,1,40,29.67,0,33,0,-7.01,36,82,Out,3,17,14
3138,Pathira Vasan Dushmantha Chameera,1992-01-11,32,Right hand Bat,Right arm Fast,Bowler,12,Pathira Vasan Dushmantha Chameera,55,2015-2024,101,24,6.73,0,55,28.87,0,11,0,-22.13,18,36,Not Out,4,17,9
3145,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,1993-10-04,30,Left hand Bat,"Right arm Offbreak, Legbreak",Allrounder,10,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,32,2012-2024,65,11,8.12,0,30,31.53,0,7,0,-23.4,10,19,Not Out,3,36,12
3152,Dhananjaya Maduranga de Silva,1991-09-06,32,Right hand Bat,Right arm Offbreak,Allrounder,13,Dhananjaya Maduranga de Silva,42,2015-2024,784,66,21.18,0,14,22.42,0,20,0,-1.23,15,24,Not Out,2,22,9
3170,Welikonthage Kavisha Dilhari,2001-01-24,23,Right hand Bat,Right arm Offbreak,Batting Allrounder,1,Welikonthage Kavisha Dilhari,44,2018-2023,219,47,9.95,0,29,25.58,0,16,0,-15.63,18,25,Not Out,2,7,5
3180,Ranaweera Mudiyanselage Shaminda Eranga,1986-06-23,37,Right hand Bat,Right arm Fast medium,Bowler,5,Ranaweera Mudiyanselage Shaminda Eranga,3,2012-2013,6,6,6.0,0,3,30.0,0,1,0,-24.0,1,1,Out,2,30,1
3182,Aththachchi Nuwan Pradeep Roshan Fernando,1986-10-19,37,Right hand Bat,Right arm Fast medium,Bowler,12,Aththachchi Nuwan Pradeep Roshan Fernando,16,2016-2021,10,8,10.0,0,15,29.06,0,2,0,-19.06,3,13,Not Out,4,25,5
3183,Binura Fernando,1995-07-12,28,Right hand Bat,Left arm Medium fast,Bowler,14,Binura Fernando,14,2015-2024,30,20,15.0,0,14,27.57,0,2,0,-12.57,6,8,Out,2,12,9
3199,Sirikkattuduwage Inoshi Priyadharshani Fernando,1987-03-23,36,Right hand Bat,Right arm Offbreak,Bowler,5,Sirikkattuduwage Inoshi Priyadharshani Fernando,16,2014-2023,5,2,2.5,0,16,16.43,0,7,0,-13.93,7,9,Out,4,10,9
3213,Downdegedara Asela Sampath Gunaratne,1986-01-08,38,Right hand Bat,Right arm Medium fast,Batter,8,Downdegedara Asela Sampath Gunaratne,12,2016-2017,225,84,25.0,0,5,40.8,0,5,0,-15.8,5,7,Not Out,1,11,1
3217,Mashtayage Danushka Gunathilaka,1991-03-17,32,Left hand Bat,Right arm Offbreak,Allrounder,13,Mashtayage Danushka Gunathilaka,46,2016-2022,741,57,16.46,0,6,25.83,0,21,0,-9.36,15,29,Out,2,3,6
3224,Pinnaduwage Wanindu Hasaranga de Silva,1997-07-29,26,Right hand Bat,Legbreak,Allrounder,14,Pinnaduwage Wanindu Hasaranga de Silva,64,2019-2024,635,71,15.11,0,102,15.55,0,27,0,-0.43,27,34,Out,4,9,5
3245,Gampalage Shehan Naveendra De Fonseka Gunawarna Jayasuriya,1991-09-12,32,Left hand Bat,Right arm Offbreak,Batting Allrounder,11,Gampalage Shehan Naveendra De Fonseka Gunawarna Jayasuriya,18,2015-2020,241,40,15.06,0,3,71.0,0,4,0,-55.93,5,13,Out,1,11,5
3254,Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,1985-01-30,39,Right hand Bat,Right arm Offbreak,Bowler,13,Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,7,2010-2011,8,6,4.0,0,7,19.85,0,0,0,-15.85,4,3,Out,3,20,1
3256,Kathira Arachchige Dona Ama Kanchana,1991-04-07,32,Right hand Bat,Right arm Fast medium,Bowling Allrounder,4,Kathira Arachchige Dona Ama Kanchana,45,2013-2023,208,17,6.93,0,13,41.84,0,7,0,-34.91,11,33,Out,3,22,10
3262,Chamika Karunaratne,1996-05-29,27,Right hand Bat,Right arm Medium fast,Bowling Allrounder,14,Chamika Karunaratne,42,2021-2023,291,31,16.16,0,24,39.7,0,13,0,-23.54,18,22,Out,2,22,2
3281,Waliarawe Gedara Achini Kalhari Kaushalya Kulasuriya,1990-06-07,33,Left hand Bat,Right arm Fast medium,Bowler,6,Waliarawe Gedara Achini Kalhari Kaushalya Kulasuriya,25,2015-2023,14,6,7.0,0,10,37.8,0,2,0,-30.8,8,17,Not Out,2,19,8
3282,Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara,1997-02-13,27,Left hand Bat,Right arm Fast,Bowler,9,Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara,26,2019-2023,10,4,3.33,0,33,22.87,0,2,0,-19.54,9,16,Out,3,7,4
3285,Dasanayaka Mudiyanselage Sugandika Manel Kumari,1991-10-05,32,Left hand Bat,Slow Left arm Orthodox,Bowler,5,Dasanayaka Mudiyanselage Sugandika Manel Kumari,68,2015-2023,87,10,5.8,0,47,28.59,0,15,0,-22.79,24,43,Out,3,17,8
3288,Ranasinghe Arachchige Suranga Lakmal,1987-03-10,36,Right hand Bat,Right arm Fast medium,Bowler,8,Ranasinghe Arachchige Suranga Lakmal,11,2011-2019,7,5,2.33,0,8,41.25,0,3,0,-38.91,4,7,Not Out,2,26,8
3305,Lokumarakkalage Dilshan Madushanka,2000-09-18,23,Right hand Bat,Left arm Fast medium,Bowler,9,Lokumarakkalage Dilshan Madushanka,13,2022-2024,2,1,0.66,0,14,28.5,0,4,0,-27.83,7,5,Not Out,3,24,2
3310,Mohamed Farveez Maharoof,1984-09-07,39,Right hand Bat,Right arm Fast medium,Allrounder,16,Mohamed Farveez Maharoof,8,2006-2016,33,13,8.25,0,7,28.42,0,2,0,-20.17,5,3,Not Out,2,18,10
3312,Separamadu Lasith Malinga,1983-08-28,40,Right hand Bat,Right arm Fast,Bowler,29,Separamadu Lasith Malinga,84,2006-2020,136,27,6.47,0,107,20.79,2,21,0,-14.31,41,40,Out,5,6,14
3316,Angelo Davis Mathews,1987-06-02,36,Right hand Bat,Right arm Medium,Allrounder,15,Angelo Davis Mathews,84,2009-2024,1312,81,27.33,0,43,30.44,0,24,0,-3.1,44,38,Not Out,3,16,15
3318,Balapuwaduge Ajantha Winslow Mendis,1985-03-11,38,Right hand Bat,Right arm Offbreak,Bowler,12,Balapuwaduge Ajantha Winslow Mendis,39,2008-2014,8,4,2.66,0,66,14.42,2,6,0,-11.75,25,13,Not Out,6,8,6
3330,Eldeniya Medagedara Dilshan Yasika Munaweera,1989-04-24,34,Right hand Bat,Right arm Offbreak,Opening Batter,20,Eldeniya Medagedara Dilshan Yasika Munaweera,13,2012-2017,215,53,17.91,0,1,92.0,0,1,0,-74.08,5,7,Out,1,26,5
3345,Matheesha Pathirana,2002-12-18,21,Right hand Bat,Right arm Fast,Bowler,10,Matheesha Pathirana,4,2022-2024,10,5,10.0,0,8,13.0,0,1,0,-3.0,2,2,Not Out,4,24,2
3363,Narangoda Liyanaarachchilage Thisara Chirantha Perera,1989-04-03,34,Left hand Bat,Right arm Medium fast,Bowling Allrounder,29,Narangoda Liyanaarachchilage Thisara Chirantha Perera,84,2010-2021,1204,61,23.15,0,51,33.66,0,30,0,-10.51,34,47,Out,3,24,11
3372,Kaluwa Dewage Udeshika Prabodhani,1985-09-20,38,Right hand Bat,Left arm Medium,Bowler,4,Kaluwa Dewage Udeshika Prabodhani,89,2009-2023,115,14,6.05,0,66,22.78,0,18,0,-16.73,26,60,Out,3,16,14
3375,Seekkuge Prasanna,1985-06-27,38,Right hand Bat,Legbreak,Allrounder,32,Seekkuge Prasanna,20,2013-2017,214,37,15.28,0,10,35.9,0,4,0,-20.61,9,11,Not Out,2,45,4
3388,Chandrasekara Arachchilage Kasun Rajitha,1993-06-01,30,Right hand Bat,Right arm Medium fast,Bowler,8,Chandrasekara Arachchilage Kasun Rajitha,18,2016-2023,31,9,10.33,0,17,36.17,0,1,0,-25.84,7,11,Not Out,3,29,7
3391,Ramith Laksen Bandara Rambukwella,1991-09-08,32,Left hand Bat,Right arm Offbreak,Opening Batter,6,Ramith Laksen Bandara Rambukwella,2,2013-2016,19,19,19.0,0,1,46.0,0,0,0,-27.0,1,1,Out,1,19,3
3392,Oshadi Udeshika Ranasinghe,1986-03-16,37,Left hand Bat,Right arm Offbreak,Bowling Allrounder,3,Oshadi Udeshika Ranasinghe,66,2013-2023,404,34,9.61,0,58,23.5,0,11,0,-13.88,19,47,Not Out,3,18,10
3397,Inoka Ranaweera,1986-02-18,37,Left hand Bat,Slow Left arm Orthodox,Bowler,3,Inoka Ranaweera,78,2012-2023,63,18,5.72,0,88,17.57,0,11,0,-11.85,28,50,Not Out,4,7,11
3415,Paththamperuma Arachchige Don Lakshan Rangika Sandakan,1991-06-10,32,Right hand Bat,Left arm Wrist spin,Bowler,8,Paththamperuma Arachchige Don Lakshan Rangika Sandakan,20,2017-2021,23,10,7.66,0,23,24.21,0,6,0,-16.55,9,11,Out,4,23,4
3418,Jayasundara Ranasinghe Mudiyanselage Vikum Bandara Sanjaya,1992-02-10,32,Right hand Bat,Right arm Fast medium,Bowler,5,Jayasundara Ranasinghe Mudiyanselage Vikum Bandara Sanjaya,8,2017-2017,20,6,6.66,0,9,27.77,0,1,0,-21.11,3,5,Out,2,20,0
3424,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,1985-02-09,39,Right hand Bat,Right arm Offbreak,Bowler,8,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,24,2012-2016,56,17,9.33,0,25,21.96,0,3,0,-12.62,14,10,Out,4,46,4
3429,Madagamagamage Dasun Shanaka,1991-09-09,32,Right hand Bat,Right arm Medium,Allrounder,16,Madagamagamage Dasun Shanaka,94,2015-2024,1405,74,20.66,0,28,21.92,0,35,0,-1.26,33,58,Not Out,3,16,9
3433,Malsha Shehani,1995-06-05,28,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Bowler,4,Malsha Shehani,12,2018-2023,47,14,5.22,0,4,25.0,0,1,0,-19.77,5,7,Out,4,2,5
3438,Nishshanka Nilakshika Damayanthi Silva,1989-09-27,34,Right hand Bat,Right arm Slow medium,Middle order Batter,5,Nishshanka Nilakshika Damayanthi Silva,79,2013-2023,895,63,16.88,0,11,22.45,0,34,0,-5.56,27,51,Not Out,3,13,10
3441,Tisse Appuhamilage Milinda Siriwardana,1985-12-04,38,Left hand Bat,Slow Left arm Orthodox,Allrounder,19,Tisse Appuhamilage Milinda Siriwardana,22,2015-2017,275,42,17.18,0,8,25.75,0,6,0,-8.56,7,15,Out,2,17,2
3453,Morawakage Maheesh Theekshana,2000-08-01,23,Right hand Bat,Right arm Offbreak,Bowler,11,Morawakage Maheesh Theekshana,43,2021-2024,36,11,3.6,0,42,25.95,0,12,0,-22.35,20,21,Not Out,3,17,3
3459,Ilandari Dewage Nuwan Thushara,1994-08-06,29,Right hand Bat,Right arm Medium fast,Bowler,9,Ilandari Dewage Nuwan Thushara,7,2022-2024,8,6,8.0,0,6,32.83,0,0,0,-24.83,1,5,Out,4,17,2
3464,Isuru Udana Tillakaratna,1988-02-17,35,Right hand Bat,Left arm Medium fast,Allrounder,40,Isuru Udana Tillakaratna,35,2009-2021,256,84,18.28,0,27,33.88,0,4,0,-15.6,13,20,Not Out,3,11,12
3509,Fabian Anthony Allen,1995-05-07,28,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,22,Fabian Anthony Allen,34,2018-2022,267,34,16.68,0,24,26.91,0,22,0,-10.22,16,17,Out,2,18,4
3510,Aaliyah Alicia Alleyne,1994-11-11,29,Right hand Bat,Right arm Medium,Bowler,3,Aaliyah Alicia Alleyne,34,2019-2023,255,49,12.14,0,10,53.3,0,5,0,-41.15,11,21,Not Out,2,16,4
3525,Christopher Dion Barnwell,1987-01-06,37,Right hand Bat,Right arm Medium fast,Allrounder,9,Christopher Dion Barnwell,6,2011-2013,78,34,19.5,0,1,51.0,0,2,0,-31.5,3,3,Not Out,1,24,2
3531,Devendra Bishoo,1985-11-06,38,Left hand Bat,Legbreak,Bowler,12,Devendra Bishoo,7,2011-2019,17,8,8.5,0,7,19.57,0,1,0,-11.07,2,5,Out,4,17,8
3539,Carlos Ricardo Brathwaite,1988-07-18,35,Right hand Bat,Right arm Fast medium,Allrounder,29,Carlos Ricardo Brathwaite,41,2011-2019,310,37,14.76,0,31,32.67,0,19,0,-17.91,16,23,Not Out,3,20,8
3541,Dwayne John Bravo,1983-10-07,40,Right hand Bat,Right arm Medium,Allrounder,43,Dwayne John Bravo,91,2006-2021,1255,66,22.01,0,78,26.1,0,44,0,-4.08,45,39,Not Out,4,19,15
3546,Shemaine Altia Campbelle,1992-10-14,31,Right hand Bat,Right arm Medium fast,Middle order Batter,3,Shemaine Altia Campbelle,125,2009-2023,1088,47,14.5,0,34,19.88,0,30,18,-5.37,61,57,Out,3,7,14
3555,Roston Lamar Chase,1992-03-22,31,Right hand Bat,Right arm Offbreak,Allrounder,8,Roston Lamar Chase,11,2021-2024,111,39,15.85,0,9,22.22,0,4,0,-6.36,5,6,Out,3,25,3
3561,Shamilia Shontell Connell,1992-07-14,31,Right hand Bat,Right arm Fast,Bowler,5,Shamilia Shontell Connell,69,2014-2023,50,15,8.33,0,49,28.4,0,14,0,-20.07,32,34,Out,3,14,9
3566,Sheldon Shane Cottrell,1989-08-19,34,Right hand Bat,Left arm Fast medium,Bowler,14,Sheldon Shane Cottrell,45,2014-2023,18,4,4.5,0,52,23.92,0,19,0,-19.42,18,23,Not Out,4,28,9
3581,Deandra Jalisa Shakira Dottin,1991-06-21,32,Right hand Bat,Right arm Fast medium,Allrounder,10,Deandra Jalisa Shakira Dottin,127,2008-2022,2697,112,25.68,2,62,19.19,1,32,0,6.49,72,48,Not Out,5,5,14
3583,Dominic Conneil Drakes,1998-02-06,26,Left hand Bat,Left arm Medium fast,Bowling Allrounder,13,Dominic Conneil Drakes,10,2021-2022,15,5,3.0,0,6,48.33,0,2,0,-45.33,2,8,Out,1,19,1
3592,Afy Samantha Sharlyn Fletcher,1987-03-17,36,Right hand Bat,Legbreak,Bowler,2,Afy Samantha Sharlyn Fletcher,74,2008-2023,162,19,7.71,0,57,23.8,1,11,0,-16.09,33,39,Out,5,13,15
3594,Cherry-Ann Sarah Fraser,1999-07-21,24,Left hand Bat,Right arm Medium fast,Allrounder,3,Cherry-Ann Sarah Fraser,12,2020-2023,22,8,4.4,0,9,23.77,0,2,0,-19.37,3,8,Out,3,20,3
3599,Shabika Gajnabi,2000-07-14,23,Right hand Bat,Right arm Medium,Bowler,2,Shabika Gajnabi,31,2019-2023,238,33,9.91,0,3,52.66,0,14,0,-42.75,7,23,Out,1,8,4
3613,Chinelle Akhalia Henry,1995-08-17,28,Right hand Bat,Right arm Medium fast,Middle order Batter,3,Chinelle Akhalia Henry,47,2013-2023,365,34,13.51,0,16,34.62,0,27,0,-21.1,18,27,Out,3,26,10
3616,Jason Omar Holder,1991-11-05,32,Right hand Bat,Right arm Medium fast,Bowling Allrounder,23,Jason Omar Holder,63,2014-2024,491,38,16.36,0,66,28.87,1,27,0,-12.51,22,38,Out,5,27,10
3621,Akeal Jerome Hosein,1993-04-25,30,Left hand Bat,Slow Left arm Orthodox,Bowler,18,Akeal Jerome Hosein,47,2021-2024,175,44,19.44,0,38,31.44,0,13,0,-12.0,17,26,Not Out,4,30,3
3636,Alzarri Shaheim Joseph,1996-11-20,27,Right hand Bat,Right arm Fast,Bowler,13,Alzarri Shaheim Joseph,22,2022-2024,55,14,27.5,0,35,21.45,1,7,0,6.04,11,11,Not Out,5,40,2
3651,Lee-Ann Giselle Laureel Kirby,1987-04-07,36,Right hand Bat,Right arm Slow medium,Middle order Batter,3,Lee-Ann Giselle Laureel Kirby,9,2008-2020,59,20,7.37,0,1,8.0,0,4,0,-0.62,3,6,Out,1,8,12
3668,Hayley Kristen Matthews,1998-03-19,25,Right hand Bat,Right arm Offbreak,Opening Batter,9,Hayley Kristen Matthews,88,2014-2023,2026,132,24.4,2,91,17.09,0,34,0,7.31,38,46,Out,4,10,9
3671,Obed  Christopher McCoy,1997-01-04,27,Left hand Bat,Left arm Fast medium,Bowler,10,Obed  Christopher McCoy,31,2019-2023,63,23,10.5,0,41,21.36,1,4,0,-10.86,12,18,Not Out,6,17,4
3678,Anisa Mohammed,1988-09-07,35,Right hand Bat,Right arm Offbreak,Bowler,3,Anisa Mohammed,117,2008-2021,152,20,7.23,0,125,17.64,3,27,0,-10.4,63,46,Not Out,5,10,13
3686,Sunil Philip Narine,1988-05-26,35,Left hand Bat,Right arm Offbreak,Bowling Allrounder,21,Sunil Philip Narine,51,2012-2019,155,30,10.33,0,52,21.25,0,7,0,-10.91,24,23,Out,4,12,7
3691,Ashley Renaldo Nurse,1988-12-22,35,Right hand Bat,Right arm Offbreak,Bowler,11,Ashley Renaldo Nurse,13,2011-2019,85,20,42.5,0,8,39.75,0,6,0,2.75,5,7,Not Out,2,6,8
3700,Keemo Mandela Angus Paul,1998-02-21,25,Right hand Bat,Right arm Fast medium,Allrounder,14,Keemo Mandela Angus Paul,23,2018-2022,187,29,20.77,0,25,28.0,1,3,0,-7.22,5,18,Out,5,15,4
3708,Kieron Adrian Pollard,1987-05-12,36,Right hand Bat,Right arm Medium,Batting Allrounder,35,Kieron Adrian Pollard,101,2008-2022,1569,75,25.3,0,42,28.28,0,42,0,-2.97,38,53,Not Out,4,25,14
3712,Rovman Powell,1993-07-23,30,Right hand Bat,Right arm Medium fast,Middle order Batter,17,Rovman Powell,71,2017-2024,1312,107,26.24,1,5,41.2,0,33,0,-14.96,28,40,Out,2,31,7
